SedentaryMinutes,TotalSteps,TotalMinutesAsleep,TotalTimeInBed,Calories
728,13162,327,346,1985
776,10735,384,407,1797
726,9762,412,442,1745
773,12669,340,367,1863
539,9705,700,712,1728
775,15506,304,320,2035
818,10544,360,377,1786
838,9819,325,364,1775
732,14371,361,384,1949
709,10039,430,449,1788
814,15355,277,323,2013
833,13755,245,274,1970
782,13154,366,393,1898
815,11181,341,354,1837
712,14673,404,425,1947
730,10602,369,396,1820
798,14727,277,309,2004
816,15103,273,296,1990
857,14070,247,264,1959
754,12159,334,367,1896
833,11992,331,349,1821
574,10060,594,611,1740
835,12022,338,342,1819
746,12207,383,403,1859
669,12770,285,306,1783
1193,3176,119,127,2498
816,18213,124,142,3846
682,3758,796,961,2580
991,6724,137,154,2987
527,3844,644,961,1725
218,4014,722,961,1763
585,2573,590,961,1541
734,678,750,775,2220
986,356,398,422,2151
941,980,475,499,2221
1058,3761,296,315,2638
1167,1675,166,178,2351
706,4414,503,546,1459
663,4993,531,565,1521
653,3335,545,568,1431
687,3821,523,573,1444
728,2547,524,567,1373
1053,838,437,498,1214
785,2424,498,540,1356
623,7222,461,510,1667
749,2467,477,514,1370
712,2915,520,545,1399
458,12357,522,554,1916
704,3490,555,591,1401
821,6017,506,531,1576
586,6088,508,545,1593
626,6375,513,545,1649
492,7604,490,510,1692
594,4729,573,607,1506
716,3609,527,546,1447
716,7018,511,543,1690
530,6564,538,560,1658
479,12167,468,485,1926
511,8198,524,548,1736
665,4193,511,521,1491
610,5528,541,568,1555
543,10685,531,556,1869
1002,254,357,380,1141
569,8580,523,553,1698
330,8891,456,485,1364
1129,5079,61,69,1804
676,10352,467,531,2038
705,10129,445,489,2010
720,10465,452,504,2133
508,5472,556,602,1882
678,8247,500,557,1944
648,6711,465,514,2346
761,10080,460,484,2048
781,7804,405,461,1946
591,16901,374,386,2629
584,9471,442,459,2187
653,9482,433,471,2095
732,5980,436,490,1861
623,11423,448,499,2194
764,5439,408,450,1854
2,42,411,473,403
777,8856,274,469,1450
754,10035,295,456,1495
801,7641,291,397,1433
644,9010,424,556,1468
663,13459,283,510,1625
600,10415,381,566,1529
605,11663,412,522,1584
738,12414,219,395,1638
845,11658,152,305,1554
712,6093,332,512,1397
731,8911,355,476,1481
724,12058,235,372,1638
660,14112,310,526,1655
781,11177,262,467,1570
797,11388,250,371,1551
714,7193,349,540,1377
804,7114,261,423,1407
744,10645,333,478,1545
687,13238,237,382,1650
691,10414,383,626,1501
713,16520,230,384,1760
594,14335,292,500,1710
852,13559,213,336,1628
680,12312,318,480,1618
676,11677,323,512,1590
703,11550,237,443,1574
688,13585,259,456,1633
676,13072,312,452,1630
712,8539,501,541,3654
1222,1982,77,77,3051
950,4496,322,332,2828
531,10252,478,536,3879
916,11728,226,248,3429
855,4369,385,408,2704
775,5862,364,402,3089
774,5546,442,494,2926
589,10210,535,557,2302
752,5664,465,491,1985
724,4744,506,522,1884
824,2276,515,551,1632
604,8925,461,498,2200
671,8954,523,543,2220
1265,3702,59,65,1792
709,4500,533,550,1886
546,4935,692,722,1945
692,4081,467,501,1880
544,9259,488,506,2314
649,9899,505,516,2236
680,10780,286,307,2324
552,10817,497,522,2367
624,7990,523,546,2175
695,8221,490,516,2092
836,1251,484,500,1593
585,9261,478,506,2270
669,9648,474,512,2235
692,9524,450,491,2266
586,7937,507,530,2158
603,3672,602,638,1792
490,10378,535,565,2345
555,9487,487,517,2260
574,9129,529,558,2232
0,17,302,321,257
837,8758,499,526,3066
609,6580,426,448,3073
721,4660,619,641,2572
1017,11009,99,104,3274
704,10181,329,338,3015
696,10553,421,451,3083
853,10055,442,458,3069
945,12139,82,85,3544
749,13236,478,501,3306
584,10243,552,595,2885
673,9461,319,346,2929
684,11193,439,500,3074
878,10074,428,458,2969
537,12533,409,430,3283
579,10255,547,597,2926
935,10096,368,376,3147
632,12375,390,414,3162
896,9603,471,495,2899
896,9603,471,495,2899
508,22770,472,496,4022
576,17298,529,541,3934
1020,10218,62,65,3013
648,10299,354,375,3061
858,10201,469,494,2954
787,3276,429,457,2113
840,2961,370,406,2095
717,3974,441,492,2194
711,7198,337,379,2496
716,3945,462,499,2180
1219,2268,98,107,1933
895,2064,388,424,1954
841,2072,439,462,1974
756,3809,436,469,2150
706,6831,388,417,2432
916,3385,328,345,2070
839,6326,353,391,2291
839,7243,332,374,2361
762,4493,419,442,2203
1106,4676,106,108,2196
797,6222,322,353,2363
741,5232,439,459,2246
667,6910,502,542,2336
725,7502,417,450,2421
897,2923,337,363,2070
734,3800,462,513,2120
809,4514,374,402,2211
866,5183,401,436,2123
733,7303,361,391,2423
641,5275,457,533,2281
783,3915,405,426,2181
622,9105,499,530,2499
380,768,483,501,1212
844,13743,126,137,2486
1062,9148,103,121,2223
1096,7833,171,179,1918
1121,3428,115,129,1692
1019,6543,123,134,2666
718,7213,425,439,2947
777,6877,400,430,2898
772,7860,384,415,2984
944,6506,253,257,2896
556,11140,382,406,3328
437,12692,591,612,3394
890,9105,293,312,3013
757,6708,457,487,2812
717,8793,454,468,3061
901,6530,425,434,2729
469,15126,465,475,3691
542,15050,480,506,3538
730,9167,370,380,3064
765,6108,421,429,2784
733,7047,432,449,2908
738,9023,442,461,3033
692,9930,433,447,3165
728,10144,479,501,3115
729,9454,327,373,3145
757,8161,412,434,3004
745,8614,414,428,3006
682,6943,404,449,2859
577,14370,520,543,3683
577,14370,520,543,3683
746,8232,435,458,2990
701,10613,416,431,3172
784,9810,354,366,3069
241,2752,404,442,1240
767,11596,441,464,2026
647,4832,455,488,1718
693,17022,357,418,2324
689,16556,377,409,2254
521,5771,651,686,1831
943,655,350,402,1397
622,3727,520,541,1683
756,15482,357,410,2284
598,2713,658,678,1570
801,12346,399,431,2066
781,11682,322,353,2105
443,4112,631,725,1776
582,1807,553,640,1507
732,10946,433,468,2033
750,11886,412,453,2093
745,10538,347,391,1922
727,11393,421,457,1999
709,12764,450,495,2169
506,1202,775,843,1463
436,5164,622,686,1747
724,9769,409,471,1996
812,12848,380,429,2116
651,4249,447,470,1698
692,14331,419,464,2156
761,9632,400,434,1916
902,1868,442,470,1494
505,6083,568,608,1762
667,11611,453,494,2272
707,16358,418,443,2335
628,4926,463,486,1693
222,3121,438,475,741
728,8135,419,438,3405
776,5077,432,458,2551
662,8596,477,497,4022
695,12087,392,413,4005
472,14269,406,445,4274
525,12231,549,583,4552
623,9893,527,553,3625
733,12574,449,465,3501
773,8330,447,480,3192
670,10830,414,437,4018
823,9172,338,366,3329
627,7638,384,402,3152
425,15764,543,615,4392
743,6393,421,461,3374
759,5325,354,377,3088
773,6805,424,452,3294
692,9841,361,372,3580
739,7924,459,485,3544
621,12363,412,433,4501
499,13368,379,398,4546
732,7439,525,553,3014
580,11045,508,543,3795
631,5206,603,634,2755
1153,7550,74,78,3004
639,8869,504,562,3841
257,4038,431,476,1665
502,14450,380,398,2828
702,7150,336,350,2225
759,5153,493,510,2018
425,11135,465,492,2606
587,10449,474,502,2536
579,19542,508,550,4900
413,8206,480,546,2409
468,11495,492,539,2651
711,7623,353,367,2305
417,9411,542,557,2576
758,3403,393,416,1879
479,9592,600,636,2560
525,8915,507,575,2361
479,9799,392,415,2636
673,3365,658,698,1838
456,7336,498,507,2469
517,7328,555,603,2250
125,4477,492,522,1248
1053,4053,235,260,2400
863,5162,423,441,2507
976,1282,391,406,2127
796,10199,366,387,1994
548,5652,630,679,1718
862,1551,508,535,1466
837,5563,370,386,1756
741,13217,357,366,2173
634,10145,427,446,2027
689,11404,442,458,2039
659,10742,476,535,2046
639,13928,418,424,2174
708,11835,451,457,2179
659,10725,425,435,2086
484,20031,528,546,2571
720,5029,511,514,1705
637,13239,400,415,2194
680,10433,441,446,2012
697,10320,455,467,2034
621,12627,440,453,2182
645,10762,433,447,2254
731,10081,422,424,2002
722,5454,411,426,1740
655,12912,466,482,2162
654,12109,394,418,2072
683,10147,442,455,2086
591,10524,467,491,2066
717,5908,443,462,1850
745,6815,298,334,1947
709,4188,541,569,1659
607,12342,489,497,2105
626,15448,469,481,2361
709,6722,452,480,1855
127,3587,516,535,928
1155,4631,79,82,2076
1142,5600,58,61,2225
745,11317,514,525,2772
744,5813,451,465,2516
787,9123,472,476,2734
864,8585,377,386,2395
671,10688,472,483,2944
797,14365,492,502,2997
758,9469,390,411,2463
762,9753,428,448,2846
566,3520,681,704,2049
706,10091,446,447,2752
726,10387,485,500,2781
829,11107,469,479,2693
810,11584,354,367,2862
584,14560,485,489,2995
685,12390,388,407,2730
737,10052,440,459,2754
761,10288,456,461,2754
843,10988,420,436,2655
834,12461,322,333,2924
621,12827,530,548,2739
695,10677,481,510,2534
743,13566,427,438,2960
757,9572,451,463,2735
343,3789,444,457,1199
695,15108,486,493,3043
741,22359,331,337,3554
1076,19769,74,75,3331
723,7626,338,356,3635
680,12386,447,487,4079
699,13318,424,455,4163
729,14461,513,533,3666
563,11207,611,689,3363
599,2132,525,591,2572
720,13630,398,451,4157
737,13070,387,421,4092
763,9388,381,409,3787
677,15148,396,417,4236
769,12200,441,469,4044
740,5709,565,591,2908
734,3703,458,492,2741
692,12405,388,402,4005
692,12405,388,402,4005
593,16208,550,584,3763
676,7359,531,600,3061
711,5417,506,556,2884
767,6175,527,562,2982
780,2946,468,555,2660
669,11419,475,539,3369
802,6064,351,385,3491
822,8712,405,429,3784
680,7875,441,477,3110
764,8567,381,417,3783
831,7045,323,355,3644
851,4468,459,513,2799
621,2943,545,606,2685
772,8382,359,399,3721
840,6582,342,391,3586
763,9143,368,387,3788
433,4561,496,546,1976
831,2564,458,493,2044
806,1320,531,552,1934
853,1219,486,503,1963
937,2483,363,377,2009
744,3147,528,547,2188
817,4068,391,407,2419
795,5245,339,360,2748
900,1758,423,428,2067
714,6157,402,416,2780
634,8360,398,406,3101
749,7174,343,360,2896
834,1619,503,527,1962
916,1831,415,423,2015
739,2421,516,545,2297
848,2283,439,463,2067
